KEY_FLT,STATUS,OCCAS,ESCALE (IATA),DATE,ROUTE_AC,FLT,TYPE,REG,FC,AC,CHR,DEP,ARR,STD,STA,ETD,ETA,TKof,TDwn,ST,ATD,ATA,BLOCK,FLThr,C1,DLY1,Sub1,C2,DLY2,Sub2,C3,DLY3,Sub3,C4,DLY4,Sub4,C5,DLY5,Sub5,C6,DLY6,Sub6,C7,DLY7,Sub7,C8,DLY8,Sub8,C1A,DLY1A,Sub9,C2A,DLY2A,Sb10,Cargo,Mail,Payld,Bags,EXP PAX F,EXP PAX C,EXP PAX Y,EXP PAX INF,ACT PAX F,ACT PAX C,ACT PAX Y,ACT PAX INF,EXP TTL,PAX TTL,SEATS TTL,LF %,AC CONFIG1,AC CONFIG2,AC CONFIG3,AC CONFIG4,Log_Page#,Character Seats F,Character Seats C,Character Seats Y,Character Seats INF,Code Share and Seats F,Code Share and Seats C,Code Share and Seats Y,Code Share and Seats INF,Dist,DStand,AStand,Change reason,Init,Uplf W,Ramp,Stdn,Burn,Uplf V,USG/LTS,Tank,ZFW,FPBurn,SGrav,Miles,Rt base,DGate,AGate,Orig.ARR Station,D.Closed,ch_type_app,ch_std,ch_dest,ch_config,FI_FILE
0304216070ALG,/,/,"",03/04/21,6070,6070,J,7TVUO,  ,AT72,  ,ALG,LOO,9:40 ,10:50,10:15,11:15,10:15,11:20,"",10:05,11:25,1:20 ,1:05 ,87,0:25 ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,99,0:35 ,    ,"",     ,    ,0,0,0,164,0,   0,   0,   0,0,   0,  30,   1,0,31,66,47,0,0,66,0,"",0,0,0,0,"","","","",326,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216071LOO,/,/,"",03/04/21,6070,6071,J,7TVUO,  ,AT72,  ,LOO,ALG,11:40,12:45,12:15,12:55,11:50,0:00 ,"",11:40,0:00 ,1:15 ,1:05 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,93,0:10 ,    ,"",     ,    ,0,0,0,191,0,   0,   0,   0,0,   0,  32,   0,0,32,66,48,0,0,66,0,"",0,0,0,0,"","","","",326,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216106ALG,/,/,"",03/04/21,6106,6106,J,7TVKF,  ,B738,  ,ALG,ORN,18:30,19:30,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,1:00 ,0:40 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",364,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216107ORN,/,/,"",03/04/21,6106,6107,J,7TVJL,  ,B738,  ,ORN,ALG,7:00 ,8:00 ,0:00 ,7:56 ,7:06 ,7:50 ,"",7:00 ,7:55 ,0:55 ,0:44 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,707,0,   0,   0,   0,0,  10, 115,   0,0,125,148,84,16,0,132,0,"",0,0,0,0,"","","","",364,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216132ALG,/,/,"",03/04/21,6132,6132,J,7TVUS,  ,AT72,  ,ALG,CBH,9:00 ,11:15,0:00 ,11:35,9:30 ,11:40,"",9:20 ,11:46,2:26 ,2:10 ,37,0:20 ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,99,0:31 ,    ,"",     ,    ,0,0,0,635,0,   0,   0,   0,0,   0,  65,   5,0,70,66,106,0,0,66,0,"",0,0,0,0,"","","","",754,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216133CBH,/,/,"",03/04/21,6132,6133,J,7TVUS,  ,AT72,  ,CBH,ALG,12:05,14:05,12:36,14:36,0:00 ,0:00 ,"",0:00 ,0:00 ,2:00 ,2:00 ,93,0:31 ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,93,0:31 ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,66,0,0,0,66,0,"",0,0,0,0,"","","","",754,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216141AZR,/,/,"",03/04/21,6140,6141,J,7TVVR,  ,AT72,  ,AZR,ALG,7:00 ,9:50 ,0:00 ,9:15 ,7:00 ,9:25 ,"",6:50 ,9:30 ,2:40 ,2:25 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,60,0,   0,   0,   0,0,   0,  16,   1,0,17,66,26,0,0,66,0,"",0,0,0,0,"","","","",1033,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216142ALG,/,/,"",03/04/21,6142,6142,J,7TVKJ,  ,B738,  ,ALG,TMX,9:20 ,11:10,0:00 ,10:52,9:30 ,0:00 ,"",9:20 ,0:00 ,1:32 ,1:22 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,254,0,0,914,0,   0,   0,   0,0,  10,  89,   5,0,104,102,102,16,0,86,0,"",0,0,0,0,"","","","",871,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216143TMX,/,/,"",03/04/21,6142,6143,J,7TVKJ,  ,B738,  ,TMX,ALG,12:10,14:00,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,1:50 ,1:30 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,102,0,16,0,86,0,"",0,0,0,0,"","","","",871,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216146ALG,/,/,"",03/04/21,6147,6146,J,7TVJQ,  ,B736,  ,ALG,TIN,11:40,14:10,0:00 ,13:45,11:45,0:00 ,"",11:40,0:00 ,2:05 ,2:00 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,612,0,   0,   0,   0,0,   2,  67,   2,0,71,102,70,16,0,86,0,"",0,0,0,0,"","","","",1463,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216147TIN,/,/,"",03/04/21,6147,6147,J,7TVJQ,  ,B736,  ,TIN,ALG,15:10,17:30,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,2:20 ,2:00 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,102,0,16,0,86,0,"",0,0,0,0,"","","","",1463,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216156ALG,/,/,"",03/04/21,6156,6156,J,7TVKI,  ,B738,  ,ALG,TMX,9:30 ,11:00,0:00 ,11:00,9:40 ,11:15,"",9:30 ,11:20,1:50 ,1:35 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,99,0:20 ,    ,"",     ,    ,0,0,0,781,0,   0,   0,   0,0,   1,  78,   1,0,80,148,54,16,0,132,0,"",0,0,0,0,"","","","",871,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216157TMX,/,/,"",03/04/21,6156,6157,J,7TVKI,  ,B738,  ,TMX,ALG,12:00,13:30,12:20,13:50,0:00 ,0:00 ,"",0:00 ,0:00 ,1:30 ,1:30 ,93,0:20 ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,93,0:20 ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",871,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216164AAE,/,/,"",03/04/21,6106,6164,J,7TVKC,  ,B738,  ,AAE,ORN,14:35,16:00,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,1:25 ,1:05 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",768,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
0304216165ORN,/,/,"",03/04/21,6106,6165,J,7TVKC,  ,B738,  ,ORN,AAE,12:20,13:35,0:00 ,0:00 ,0:00 ,0:00 ,"",0:00 ,0:00 ,1:15 ,0:55 ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,"",     ,    ,0,0,0,0,0,   0,   0,   0,0,   0,   0,   0,0,0,148,0,16,0,132,0,"",0,0,0,0,"","","","",768,	,	,"",0,0,0,0,0,0,Lts,0,0,0,0.0	,0,ALG,	,	,"",0:00	,"","","","",2021-04-03 14:15:00
