ID,KEY_FLT,ch_type_app,ch_std,ch_dest,ch_config,Aircraft_Type_x,Aircraft_Type_y,STD_UTC_x,STD_UTC_y,Arrival_Station_x,Arrival_Station_y,Aircraft_Configuration_x,Aircraft_Configuration_y
766,1503216177AAE,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,AT7,1525,1530,ALG,ALG,F16Y85              ,Y66                 
767,1503216192ALG,10FEB2109FEB22,,,10FEB2109FEB22,736,73H,1430,1430,CZL,CZL,F16Y85              ,F16Y132             
768,1503216193CZL,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,736,73H,1620,1630,ALG,ALG,F16Y85              ,F16Y132             
769,1503216200ALG,,10FEB2109FEB22,,,AT7,AT7,1730,1530,GHA,GHA,Y66                 ,Y66                 
770,1503216201GHA,,10FEB2109FEB22,,,AT7,AT7,0715,0700,ALG,ALG,Y66                 ,Y66                 
771,1503216218ALG,,10FEB2109FEB22,,,AT7,AT7,1100,0700,OGX,OGX,Y66                 ,Y66                 
772,1503216219OGX,,10FEB2109FEB22,,,AT7,AT7,1330,0930,ALG,ALG,Y66                 ,Y66                 
773,1503216222ALG,,10FEB2109FEB22,,,AT7,AT7,1620,1550,HME,HME,Y66                 ,Y66                 
774,1503216223HME,,10FEB2109FEB22,,,AT7,AT7,0630,0700,ALG,ALG,Y66                 ,Y66                 
775,1603216027CZL,,10FEB2109FEB22,,,73H,73H,0720,0735,ALG,ALG,F16Y132             ,F16Y132             
776,1603216050ALG,10FEB2109FEB22,,,10FEB2109FEB22,AT7,736,1000,1000,BJA,BJA,Y66                 ,F16Y85              
777,1603216051BJA,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,1135,1130,ALG,ALG,Y66                 ,F16Y85              
778,1603216070ALG,,10FEB2109FEB22,,,AT7,AT7,0950,0940,LOO,LOO,Y66                 ,Y66                 
779,1603216071LOO,,10FEB2109FEB22,,,AT7,AT7,1150,1140,ALG,ALG,Y66                 ,Y66                 
780,1603216106ALG,,10FEB2109FEB22,,,73H,73H,1845,1830,ORN,ORN,F16Y132             ,F16Y132             
781,1603216107ORN,,10FEB2109FEB22,,,73H,73H,0700,0720,ALG,ALG,F16Y132             ,F16Y132             
782,1603216141AZR,10FEB2109FEB22,10FEB2109FEB22,,10FEB2109FEB22,AT7,736,1255,1320,ALG,ALG,Y66                 ,F16Y86              
783,1603216185ORN,,10FEB2109FEB22,,,736,736,1600,1545,ALG,ALG,F16Y85              ,F16Y85              
