KEY_FLT,STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,ch_type_app,ch_std,ch_dest,ch_config
0103216225HME,CANCELED,01MAR2128FEB22,3, ,AH,6225,01,02,J,01MAR21,01MAR21,1, , , , , , ,HME,1455,1455,+,0100,ALG,1640,1640,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216230ALG,,01MAR2128FEB22,3, ,AH,6230,01,01,J,01MAR21,31MAY21,1, , , , , , ,ALG,1000,1000,+,0100,TMR,1225,1225,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216231TMR,,01MAR2128FEB22,3, ,AH,6231,01,01,J,01MAR21,31MAY21,1, , , , , , ,TMR,1325,1325,+,0100,ALG,1555,1555,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216266ALG,,01MAR2128FEB22,3, ,AH,6266,01,01,J,01MAR21,01MAR21,1, , , , , , ,ALG,1130,1130,+,0100,TGR,1255,1255,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216267TGR,,01MAR2128FEB22,3, ,AH,6267,01,01,J,01MAR21,01MAR21,1, , , , , , ,TGR,1345,1345,+,0100,ALG,1510,1510,+,0100,AT7,       ,Y66                 ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216304ALG,,01MAR2128FEB22,3, ,AH,6304,01,01,J,01MAR21,31MAY21,1, , , , , , ,ALG,0815,0815,+,0100,OGX,0925,0925,+,0100,736,       ,F16Y86              ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216304OGX,,01MAR2128FEB22,3, ,AH,6304,01,02,J,01MAR21,31MAY21,1, , , , , , ,OGX,1025,1025,+,0100,VVZ,1135,1135,+,0100,736,       ,F16Y86              ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216305VVZ,,01MAR2128FEB22,3, ,AH,6305,01,01,J,01MAR21,31MAY21,1, , , , , , ,VVZ,1235,1235,+,0100,OGX,1345,1345,+,0100,736,       ,F16Y86              ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216305OGX,,01MAR2128FEB22,3, ,AH,6305,01,02,J,01MAR21,31MAY21,1, , , , , , ,OGX,1445,1445,+,0100,ALG,1555,1555,+,0100,736,       ,F16Y86              ,2021-03-01,2021-03-01,,,,1.0,,,,
0103216338CZL,,01MAR2128FEB22,3, ,AH,6338,01,01,J,01MAR21,31MAY21,1, , , , , , ,CZL,1510,1510,+,0100,OGX,1610,1610,+,0100,73H,       ,F16Y132             ,2021-03-01,2021-03-01,,,,1.0,,,,
