STATUS,ssim_period,index_commercial,ST_SSIM,Airline,Flight_Number,Itinirary_Variation_Indicator,Leg_Sequence_Number,Service_Type,Start_period,End_period,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Departure_Station,PAX_STD_UTC,STD_UTC,STD_Variation_Sign,STD_Variation_UTC,Arrival_Station,STA_UTC,PAX_STA_UTC,STA_Variation_Sign,STA_Variation_UTC,Aircraft_Type,fly_next_number,Aircraft_Configuration,fly_date,arrival_date,vol_commercial_number,vol_commercial_airline,code_ssim,day_op,KEY_FLT
,02MAR2101MAR22,3, ,AH,6216,11,01,J,25MAR21,27MAY21, , , ,4, , , ,ALG,1245,1245,+,0100,OGX,1425,1425,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216216ALG
,02MAR2101MAR22,3, ,AH,6217,11,01,J,25MAR21,27MAY21, , , ,4, , , ,OGX,1515,1515,+,0100,ALG,1655,1655,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216217OGX
,02MAR2101MAR22,3, ,AH,6222,05,01,J,01APR21,27MAY21, , , ,4, , , ,ALG,1620,1620,+,0100,HME,1800,1800,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216222ALG
,02MAR2101MAR22,3, ,AH,6223,08,01,J,21MAR21,01APR21,1,2, ,4,5,6,7,HME,0630,0630,+,0100,ALG,0810,0810,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216223HME
,02MAR2101MAR22,3, ,AH,6226,02,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1040,1040,+,0100,HME,1155,1155,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216226ALG
,02MAR2101MAR22,3, ,AH,6227,02,01,J,04MAR21,27MAY21, , , ,4, , , ,HME,1245,1245,+,0100,ALG,1400,1400,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216227HME
,02MAR2101MAR22,3, ,AH,6230,01,01,J,04MAR21,27MAY21, , , ,4, , , ,ALG,1110,1110,+,0100,TMR,1330,1330,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216230ALG
,02MAR2101MAR22,3, ,AH,6231,01,01,J,04MAR21,27MAY21, , , ,4, , , ,TMR,1425,1425,+,0100,ALG,1700,1700,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216231TMR
,02MAR2101MAR22,3, ,AH,6234,02,01,J,11MAR21,27MAY21, , , ,4, , , ,ORN,0800,0800,+,0100,TMR,1030,1030,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216234ORN
,02MAR2101MAR22,3, ,AH,6235,02,01,J,11MAR21,27MAY21, , , ,4, , , ,TMR,1130,1130,+,0100,ORN,1345,1345,+,0100,73H,       ,F16Y132             ,2021-04-01,2021-04-01,,,,4.0,0104216235TMR
,02MAR2101MAR22,3, ,AH,6252,03,01,J,04MAR21,27MAY21, , ,3,4, , , ,ALG,0710,0710,+,0100,ELU,0835,0835,+,0100,AT7,       ,Y66                 ,2021-04-01,2021-04-01,,,,4.0,0104216252ALG
